Level,Season,Power_demand,Heat_demand ,PV,Wind
3,R,+Inf,+Inf,+Inf,+Inf
3,S,+Inf,+Inf,+Inf,+Inf
3,F,+Inf,+Inf,+Inf,+Inf
3,W,+Inf,+Inf,+Inf,+Inf
2,R,1.15,1.7,4,1.8
2,S,0.95,1.7,4,1.8
2,F,1.15,1.7,4,1.8
2,W,1.3,1.7,4,1.8
1,R,0.8,0.5,0,0.5
1,S,0.75,0.5,0,0.5
1,F,0.8,0.5,0,0.5
1,W,0.95,0.5,0,0.5
0,R,-Inf,-Inf,-Inf,-Inf
0,S,-Inf,-Inf,-Inf,-Inf
0,F,-Inf,-Inf,-Inf,-Inf
0,W,-Inf,-Inf,-Inf,-Inf
